,roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
253,0.64547,3.2928,4.4123,0.27589,1.0404,0.75922,1.1447,1.9219,0.16477,4.2e-05,0.000344,1e-06,0.0,0.0,0.0,62.495,56.837,10.56,15.851,18.945,15.077,0.8215,0.34313,1.5879,6.9382,5.0395,5.3264,0.17225,0.9889,0.25402,0.91707
254,0.6714600000000001,3.0665,4.3261,0.27552,1.0403,0.74373,1.1928,1.865,0.1682,4.4e-05,0.00056,5e-06,0.0,0.0,0.0,66.385,55.877,5.3171,15.437,20.26,11.775,1.0419,0.45774,3.0461,7.2773,5.0094,14.53,0.17493,0.98888,0.25894,0.9167
255,0.62669,2.5838,4.4779,0.74844,1.5078,0.70558,1.1856,1.8418,0.19231,0.005597,0.00225,0.000305,0.0,2.3e-05,0.0,66.479,61.99100000000001,3.5772,15.92,18.973,9.5525,0.4235,0.088676,3.4784,4.9736,4.124,16.769000000000002,0.17374,0.98891,0.25687,0.91797
256,0.65415,2.9996,4.383,0.43662,1.1115,0.74412,1.1955,1.8878,0.16892,0.000317,0.000672,1e-05,0.0,0.0,0.0,66.381,56.411,10.925999999999998,15.409,19.095,16.343,1.0036,0.41558,1.6235,6.502000000000002,4.9243,5.098,0.1396,0.99121,0.26975,0.93242
257,0.67364,3.3404,4.3191,0.45294,1.1217,0.75972,1.0641,1.8792,0.16562000000000002,0.00035800000000000003,0.000382,0.0,0.0,0.0,0.0,62.319,54.31399999999999,8.3178,14.761,18.62,13.527,0.90535,0.28091,1.9389,6.9811,4.975,6.9141,0.15675999999999998,0.99008,0.27118000000000003,0.92425
258,0.6712600000000001,2.8428,4.3267,0.5381199999999999,1.1864,0.7360800000000001,1.1988,1.8493,0.17231,0.000851,0.000284,8e-06,0.0,0.0,0.0,69.087,59.692,18.145,16.840999999999998,21.177,19.614,0.99772,0.32327,0.91287,6.0381,4.5326,3.0147,0.1804,0.98791,0.22571,0.91297
259,0.60454,2.7141,4.5593,0.70687,1.4137,0.71975,1.1986,1.9054,0.18418,0.003762,0.001382,0.000107,0.0,7.000000000000002e-06,0.0,65.189,69.255,15.568,20.457,20.313,20.462,0.49714,0.19619,1.3374,4.206,3.6266,4.1004,0.16139,0.98876,0.22418,0.92149
260,0.6956899999999999,3.1564,4.2501,0.19406,1.0194,0.7582300000000001,1.1613,1.8503,0.16489,1e-05,0.000267,0.0,0.0,0.0,0.0,63.892,55.778,14.892,15.869000000000002,19.623,17.345,1.0145,0.36431,1.1317,7.18,5.214,3.7888,0.17363,0.98775,0.24572,0.91666
261,0.64289,2.8859,4.4212,0.4929,1.1493,0.74292,1.2317,1.9008,0.16989,0.000552,0.000617,1.9e-05,0.0,0.0,0.0,63.676,52.592,8.0544,15.046,19.74,13.609000000000002,1.0616,0.36146,2.035,7.0261,4.8954,7.3837,0.15721,0.99048,0.2755,0.92494
262,0.66627,2.8527,4.3429,0.59859,1.2484,0.75778,1.1861,1.8787,0.16903,0.001361,0.00049,2.2e-05,0.0,1e-06,0.0,64.78399999999999,64.218,16.347,18.744,19.291,19.716,0.55974,0.36511,1.2754,5.9709,5.1001,4.3856,0.17154,0.98817,0.22981,0.91721
