,roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
268,0.508,3.3369,4.9736,0.58744,1.2357,0.77028,1.1768,2.1704,0.16593,0.0011970000000000001,0.00011599999999999999,1e-06,0.0,0.0,0.0,71.477,70.986,8.3715,17.22,18.119,15.835999999999999,0.31465,0.11066,2.4214,3.9269,3.8325,10.412,0.20237,0.9848600000000001,0.21172,0.9031100000000001
269,0.58229,3.2655,4.6455,0.6161399999999999,1.2696,0.7765,1.1126,2.0323,0.16559000000000001,0.001505,8.3e-05,1e-06,0.0,0.0,0.0,68.063,69.48899999999999,1.5066,17.224,18.35,9.4503,0.25271,0.049698,9.2924,5.1701,4.5814,108.46,0.21899999999999997,0.98295,0.20833000000000002,0.8977700000000001
270,0.58608,3.1506,4.6305,0.6289600000000001,1.2863,0.7751600000000001,1.1409,2.0224,0.16639,0.0016829999999999998,7.2e-05,1e-06,0.0,0.0,0.0,77.574,70.298,18.756,15.422,17.797,20.581,0.40865999999999997,0.07660700000000001,1.2092,5.2913,4.7805,5.0609,0.17207999999999998,0.9865200000000001,0.2261,0.91927
271,0.5432899999999999,3.377,4.8094,0.63334,1.2922,0.7723399999999999,1.101,2.0961,0.16719,0.001759,0.000122,2e-06,0.0,0.0,0.0,75.666,72.314,12.607000000000001,19.861,21.454,20.574,0.035817,-0.17618,1.9388,3.8393,3.7025,7.39,0.22548,0.98015,0.18692,0.89554
272,0.55175,3.2311,4.7724,0.67592,1.3569,0.7780199999999999,1.1184,2.0805,0.1682,0.00248,4.7e-05,1e-06,0.0,0.0,0.0,73.226,73.47399999999998,3.3899,16.754,17.967,12.245,0.21636,0.075674,5.5931,4.7794,4.2679,44.617,0.21291,0.98236,0.20736999999999997,0.90092
273,0.59216,3.1859,4.6066,0.67232,1.3509,0.77286,1.0937,2.0022,0.16910999999999998,0.002438,9.8e-05,2e-06,0.0,0.0,0.0,76.54,73.12899999999998,13.217,19.547,21.516,21.388,0.12027,-0.18254,1.8542,3.7461,3.5143,6.7257,0.22906999999999997,0.97987,0.18563,0.8940600000000001
274,0.56579,3.3647,4.7128,0.43787,1.1123,0.76105,1.1586,2.0528,0.16518,0.000307,0.00033999999999999997,1e-06,0.0,0.0,0.0,73.062,74.86399999999998,0.5703,17.101,17.902,5.5887,0.27075,0.1334,14.849,4.5363,3.9273,288.2,0.22585999999999998,0.97988,0.19805,0.89144
275,0.61339,3.1529,4.5262,0.61239,1.2649,0.77603,1.1244,1.9799,0.16555,0.00146,7.3e-05,1e-06,0.0,0.0,0.0,70.673,69.145,19.445,17.743,18.887,21.929000000000002,0.3215,0.146,1.1987,4.4725,4.1711,4.4947,0.20688,0.98345,0.20037,0.90307
276,0.48904,3.4277,5.0691,0.64112,1.3030000000000002,0.77049,1.1372,2.2054,0.16795,0.001888,0.000118,1e-06,0.0,0.0,0.0,70.441,68.768,26.154,19.029,20.574,25.169,0.41866000000000003,0.16343,0.91181,4.4399,4.122,3.9096,0.22077,0.98305,0.19680999999999998,0.8992600000000001
277,0.56596,3.302,4.7121,0.53042,1.1796,0.7562,1.1426,2.0418,0.16756,0.000752,0.00011,1e-06,0.0,0.0,0.0,77.706,75.017,23.388,19.654,20.719,24.526,0.12403,-0.14702,0.99705,4.2855,4.067,3.9891,0.20976,0.98269,0.20202,0.9031299999999999
278,0.5099100000000001,3.6327,4.9643,0.13529000000000002,1.0093,0.7479100000000001,1.1764,2.1466,0.16714,2e-06,0.000381,2e-06,0.0,0.0,0.0,77.482,74.63600000000002,17.412,18.765,20.320999999999998,22.726,0.12303,-0.10569,1.5183,4.4748,4.3148,5.8663,0.18975999999999998,0.9847799999999999,0.21395,0.91212
279,0.59005,3.3086,4.6149,0.47426,1.1359,0.76763,1.1466,2.0176,0.16416,0.000433,0.00010800000000000001,2e-06,0.0,0.0,0.0,80.926,81.138,30.336,15.982000000000001,16.675,22.156999999999996,0.5713,0.39598,0.5115,4.546,4.3061,3.447,0.23218000000000005,0.97251,0.22912,0.8896700000000001
